route_id,route_name,departure_slot,fleet_id,trip_count,avg_delay_minutes,max_delay_minutes,high_delay_count,avg_delay_risk_probability,main_delay_reason,risk_rank,risk_category
R009,Yogyakarta - Madiun,Pagi,BUS-005,1,40.0,40,1,1.0,Terminal Padat,32,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-041,1,39.0,39,1,1.0,Jalan Rusak,33,High
R003,Yogyakarta - Surabaya,Siang,BUS-038,1,39.0,39,1,1.0,Cuaca Buruk,34,High
R004,Yogyakarta - Semarang,Dini Hari,BUS-077,1,39.0,39,1,1.0,Cuaca Buruk,35,High
R001,Yogyakarta - Jakarta,Pagi,BUS-078,1,38.0,38,1,1.0,Terminal Padat,36,High
R003,Yogyakarta - Surabaya,Malam,BUS-012,1,38.0,38,1,1.0,Jalan Rusak,37,High
R010,Yogyakarta - Lampung,Pagi,BUS-004,1,38.0,38,1,1.0,Teknis Armada,38,High
R010,Yogyakarta - Lampung,Siang,BUS-085,1,38.0,38,1,1.0,Terminal Padat,39,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-081,1,37.0,37,1,1.0,Terminal Padat,40,High
R001,Yogyakarta - Jakarta,Sore,BUS-046,1,37.0,37,1,1.0,Terminal Padat,41,High
R009,Yogyakarta - Madiun,Sore,BUS-076,1,37.0,37,1,1.0,Lalu Lintas,42,High
R010,Yogyakarta - Lampung,Pagi,BUS-045,1,37.0,37,1,1.0,Cuaca Buruk,43,High
R003,Yogyakarta - Surabaya,Siang,BUS-058,1,36.0,36,1,1.0,Cuaca Buruk,44,High
R005,Yogyakarta - Malang,Dini Hari,BUS-025,1,36.0,36,1,1.0,Terminal Padat,45,High
R006,Yogyakarta - Denpasar,Siang,BUS-027,1,36.0,36,1,1.0,Jalan Rusak,46,High
R006,Yogyakarta - Denpasar,Siang,BUS-032,1,36.0,36,1,1.0,Terminal Padat,47,High
R008,Yogyakarta - Purwokerto,Sore,BUS-049,1,36.0,36,1,1.0,Cuaca Buruk,48,High
R009,Yogyakarta - Madiun,Sore,BUS-004,1,36.0,36,1,1.0,Cuaca Buruk,49,High
R010,Yogyakarta - Lampung,Pagi,BUS-051,1,36.0,36,1,1.0,Terminal Padat,50,High
R010,Yogyakarta - Lampung,Siang,BUS-010,1,36.0,36,1,1.0,Lalu Lintas,51,High
R010,Yogyakarta - Lampung,Sore,BUS-044,1,36.0,36,1,1.0,Terminal Padat,52,High
R003,Yogyakarta - Surabaya,Malam,BUS-014,1,35.0,35,1,1.0,Terminal Padat,53,High
R003,Yogyakarta - Surabaya,Siang,BUS-035,1,35.0,35,1,1.0,Cuaca Buruk,54,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-025,1,35.0,35,1,1.0,Jalan Rusak,55,High
R007,Yogyakarta - Solo,Siang,BUS-085,1,35.0,35,1,1.0,Cuaca Buruk,56,High
R009,Yogyakarta - Madiun,Malam,BUS-048,1,35.0,35,1,1.0,Teknis Armada,57,High
R009,Yogyakarta - Madiun,Malam,BUS-051,1,35.0,35,1,1.0,Teknis Armada,58,High
R003,Yogyakarta - Surabaya,Dini Hari,BUS-071,1,34.0,34,1,1.0,Terminal Padat,59,High
R003,Yogyakarta - Surabaya,Sore,BUS-004,1,34.0,34,1,1.0,Terminal Padat,60,High
R005,Yogyakarta - Malang,Dini Hari,BUS-065,1,34.0,34,1,1.0,Terminal Padat,61,High
R005,Yogyakarta - Malang,Sore,BUS-081,1,34.0,34,1,1.0,Cuaca Buruk,62,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-029,1,34.0,34,1,1.0,Lalu Lintas,63,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-055,1,34.0,34,1,1.0,Jalan Rusak,64,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-069,1,34.0,34,1,1.0,Teknis Armada,65,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-083,1,34.0,34,1,1.0,Teknis Armada,66,High
R006,Yogyakarta - Denpasar,Siang,BUS-017,1,34.0,34,1,1.0,Lalu Lintas,67,High
R008,Yogyakarta - Purwokerto,Malam,BUS-027,1,34.0,34,1,1.0,Teknis Armada,68,High
R008,Yogyakarta - Purwokerto,Sore,BUS-068,1,34.0,34,1,1.0,Teknis Armada,69,High
R009,Yogyakarta - Madiun,Pagi,BUS-075,1,34.0,34,1,1.0,Jalan Rusak,70,High
R009,Yogyakarta - Madiun,Siang,BUS-079,1,34.0,34,1,1.0,Terminal Padat,71,High
R010,Yogyakarta - Lampung,Malam,BUS-006,1,34.0,34,1,1.0,Cuaca Buruk,72,High
R010,Yogyakarta - Lampung,Pagi,BUS-077,1,34.0,34,1,1.0,Jalan Rusak,73,High
R010,Yogyakarta - Lampung,Siang,BUS-059,1,34.0,34,1,1.0,Cuaca Buruk,74,High
R010,Yogyakarta - Lampung,Sore,BUS-002,1,34.0,34,1,1.0,Cuaca Buruk,75,High
R010,Yogyakarta - Lampung,Sore,BUS-028,1,34.0,34,1,1.0,Jalan Rusak,76,High
R002,Yogyakarta - Bandung,Dini Hari,BUS-071,1,33.0,33,1,1.0,Terminal Padat,77,High
R003,Yogyakarta - Surabaya,Dini Hari,BUS-034,1,33.0,33,1,1.0,Lalu Lintas,78,High
R003,Yogyakarta - Surabaya,Malam,BUS-038,1,33.0,33,1,1.0,Jalan Rusak,79,High
R003,Yogyakarta - Surabaya,Pagi,BUS-005,1,33.0,33,1,1.0,Cuaca Buruk,80,High
R003,Yogyakarta - Surabaya,Pagi,BUS-063,1,33.0,33,1,1.0,Terminal Padat,81,High
R004,Yogyakarta - Semarang,Dini Hari,BUS-030,1,33.0,33,1,1.0,Jalan Rusak,82,High
R005,Yogyakarta - Malang,Dini Hari,BUS-066,1,33.0,33,1,1.0,Lalu Lintas,83,High
R006,Yogyakarta - Denpasar,Sore,BUS-038,1,33.0,33,1,1.0,Lalu Lintas,84,High
R006,Yogyakarta - Denpasar,Sore,BUS-077,1,33.0,33,1,1.0,Jalan Rusak,85,High
R008,Yogyakarta - Purwokerto,Dini Hari,BUS-009,1,33.0,33,1,1.0,Cuaca Buruk,86,High
R009,Yogyakarta - Madiun,Sore,BUS-045,1,33.0,33,1,1.0,Jalan Rusak,87,High
R010,Yogyakarta - Lampung,Sore,BUS-010,1,33.0,33,1,1.0,Cuaca Buruk,88,High
R001,Yogyakarta - Jakarta,Siang,BUS-042,2,32.5,34,2,0.9696969696969697,Jalan Rusak,89,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-056,1,32.0,32,1,0.9696969696969697,Cuaca Buruk,90,High
R001,Yogyakarta - Jakarta,Malam,BUS-025,1,32.0,32,1,0.9696969696969697,Terminal Padat,91,High
R001,Yogyakarta - Jakarta,Siang,BUS-066,1,32.0,32,1,0.9696969696969697,Jalan Rusak,92,High
R001,Yogyakarta - Jakarta,Sore,BUS-010,1,32.0,32,1,0.9696969696969697,Teknis Armada,93,High
R001,Yogyakarta - Jakarta,Sore,BUS-058,1,32.0,32,1,0.9696969696969697,Cuaca Buruk,94,High
R001,Yogyakarta - Jakarta,Sore,BUS-063,1,32.0,32,1,0.9696969696969697,Cuaca Buruk,95,High
R002,Yogyakarta - Bandung,Malam,BUS-042,1,32.0,32,1,0.9696969696969697,Jalan Rusak,96,High
R002,Yogyakarta - Bandung,Sore,BUS-056,1,32.0,32,1,0.9696969696969697,Lalu Lintas,97,High
R005,Yogyakarta - Malang,Dini Hari,BUS-014,1,32.0,32,1,0.9696969696969697,Cuaca Buruk,98,High
R005,Yogyakarta - Malang,Siang,BUS-044,1,32.0,32,1,0.9696969696969697,Terminal Padat,99,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-054,1,32.0,32,1,0.9696969696969697,Lalu Lintas,100,High
R006,Yogyakarta - Denpasar,Pagi,BUS-032,1,32.0,32,1,0.9696969696969697,Terminal Padat,101,High
R008,Yogyakarta - Purwokerto,Siang,BUS-025,1,32.0,32,1,0.9696969696969697,Terminal Padat,102,High
R009,Yogyakarta - Madiun,Sore,BUS-026,1,32.0,32,1,0.9696969696969697,Terminal Padat,103,High
R010,Yogyakarta - Lampung,Dini Hari,BUS-054,1,32.0,32,1,0.9696969696969697,Lalu Lintas,104,High
R010,Yogyakarta - Lampung,Malam,BUS-026,1,32.0,32,1,0.9696969696969697,Lalu Lintas,105,High
R010,Yogyakarta - Lampung,Malam,BUS-036,1,32.0,32,1,0.9696969696969697,Lalu Lintas,106,High
R001,Yogyakarta - Jakarta,Malam,BUS-056,2,31.5,33,2,0.9545454545454546,Lalu Lintas,107,High
R002,Yogyakarta - Bandung,Dini Hari,BUS-055,1,31.0,31,1,0.9393939393939394,Lalu Lintas,108,High
R004,Yogyakarta - Semarang,Dini Hari,BUS-046,1,31.0,31,1,0.9393939393939394,Terminal Padat,109,High
R004,Yogyakarta - Semarang,Siang,BUS-071,1,31.0,31,1,0.9393939393939394,Terminal Padat,110,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-043,1,31.0,31,1,0.9393939393939394,Terminal Padat,111,High
R006,Yogyakarta - Denpasar,Sore,BUS-001,1,31.0,31,1,0.9393939393939394,Terminal Padat,112,High
R008,Yogyakarta - Purwokerto,Malam,BUS-032,1,31.0,31,1,0.9393939393939394,Teknis Armada,113,High
R009,Yogyakarta - Madiun,Pagi,BUS-083,1,31.0,31,1,0.9393939393939394,Terminal Padat,114,High
R001,Yogyakarta - Jakarta,Pagi,BUS-066,2,38.0,48,1,0.9242424242424243,Teknis Armada,115,High
R006,Yogyakarta - Denpasar,Pagi,BUS-004,2,30.5,32,1,0.9242424242424243,Terminal Padat,116,High
R007,Yogyakarta - Solo,Malam,BUS-024,2,33.5,40,1,0.9090909090909092,Lalu Lintas,117,High
R004,Yogyakarta - Semarang,Malam,BUS-075,2,30.5,34,1,0.9090909090909092,Cuaca Buruk,118,High
R001,Yogyakarta - Jakarta,Pagi,BUS-038,1,30.0,30,1,0.9090909090909091,Terminal Padat,119,High
R001,Yogyakarta - Jakarta,Pagi,BUS-045,1,30.0,30,1,0.9090909090909091,Jalan Rusak,120,High
R001,Yogyakarta - Jakarta,Siang,BUS-024,1,30.0,30,1,0.9090909090909091,Jalan Rusak,121,High
R002,Yogyakarta - Bandung,Dini Hari,BUS-031,1,30.0,30,1,0.9090909090909091,Cuaca Buruk,122,High
R002,Yogyakarta - Bandung,Siang,BUS-047,1,30.0,30,1,0.9090909090909091,Lalu Lintas,123,High
R002,Yogyakarta - Bandung,Sore,BUS-032,1,30.0,30,1,0.9090909090909091,Teknis Armada,124,High
R003,Yogyakarta - Surabaya,Malam,BUS-071,1,30.0,30,1,0.9090909090909091,Jalan Rusak,125,High
R003,Yogyakarta - Surabaya,Pagi,BUS-057,1,30.0,30,1,0.9090909090909091,Lalu Lintas,126,High
R005,Yogyakarta - Malang,Pagi,BUS-053,1,30.0,30,1,0.9090909090909091,Cuaca Buruk,127,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-015,1,30.0,30,1,0.9090909090909091,Terminal Padat,128,High
R006,Yogyakarta - Denpasar,Siang,BUS-062,1,30.0,30,1,0.9090909090909091,Jalan Rusak,129,High
R007,Yogyakarta - Solo,Dini Hari,BUS-028,1,30.0,30,1,0.9090909090909091,Lalu Lintas,130,High
R007,Yogyakarta - Solo,Siang,BUS-003,1,30.0,30,1,0.9090909090909091,Cuaca Buruk,131,High
R007,Yogyakarta - Solo,Siang,BUS-026,1,30.0,30,1,0.9090909090909091,Terminal Padat,132,High
R010,Yogyakarta - Lampung,Dini Hari,BUS-049,1,30.0,30,1,0.9090909090909091,Cuaca Buruk,133,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-026,2,30.0,34,1,0.8939393939393939,Lalu Lintas,134,High
R006,Yogyakarta - Denpasar,Siang,BUS-038,2,29.5,30,1,0.8939393939393939,Cuaca Buruk,135,High
R007,Yogyakarta - Solo,Siang,BUS-076,2,30.5,36,1,0.8787878787878788,Lalu Lintas,136,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-084,2,30.0,35,1,0.8787878787878788,Terminal Padat,137,High
R001,Yogyakarta - Jakarta,Pagi,BUS-018,1,29.0,29,0,0.8787878787878788,Jalan Rusak,138,High
R001,Yogyakarta - Jakarta,Sore,BUS-061,1,29.0,29,0,0.8787878787878788,Cuaca Buruk,139,High
R002,Yogyakarta - Bandung,Malam,BUS-019,1,29.0,29,0,0.8787878787878788,Lalu Lintas,140,High
R002,Yogyakarta - Bandung,Siang,BUS-034,1,29.0,29,0,0.8787878787878788,Lalu Lintas,141,High
R002,Yogyakarta - Bandung,Sore,BUS-017,1,29.0,29,0,0.8787878787878788,Lalu Lintas,142,High
R003,Yogyakarta - Surabaya,Dini Hari,BUS-039,1,29.0,29,0,0.8787878787878788,Jalan Rusak,143,High
R003,Yogyakarta - Surabaya,Malam,BUS-075,1,29.0,29,0,0.8787878787878788,Teknis Armada,144,High
R003,Yogyakarta - Surabaya,Siang,BUS-030,1,29.0,29,0,0.8787878787878788,Jalan Rusak,145,High
R004,Yogyakarta - Semarang,Malam,BUS-054,1,29.0,29,0,0.8787878787878788,Lalu Lintas,146,High
R004,Yogyakarta - Semarang,Pagi,BUS-009,1,29.0,29,0,0.8787878787878788,Terminal Padat,147,High
R005,Yogyakarta - Malang,Dini Hari,BUS-077,1,29.0,29,0,0.8787878787878788,Teknis Armada,148,High
R005,Yogyakarta - Malang,Siang,BUS-035,1,29.0,29,0,0.8787878787878788,Terminal Padat,149,High
R005,Yogyakarta - Malang,Sore,BUS-052,2,29.0,32,1,0.8787878787878788,Teknis Armada,150,High
R006,Yogyakarta - Denpasar,Malam,BUS-067,1,29.0,29,0,0.8787878787878788,Lalu Lintas,151,High
R006,Yogyakarta - Denpasar,Siang,BUS-058,1,29.0,29,0,0.8787878787878788,Cuaca Buruk,152,High
R006,Yogyakarta - Denpasar,Sore,BUS-060,1,29.0,29,0,0.8787878787878788,Terminal Padat,153,High
R007,Yogyakarta - Solo,Dini Hari,BUS-042,1,29.0,29,0,0.8787878787878788,Teknis Armada,154,High
R007,Yogyakarta - Solo,Malam,BUS-027,1,29.0,29,0,0.8787878787878788,Cuaca Buruk,155,High
R007,Yogyakarta - Solo,Malam,BUS-060,1,29.0,29,0,0.8787878787878788,Teknis Armada,156,High
R008,Yogyakarta - Purwokerto,Malam,BUS-008,1,29.0,29,0,0.8787878787878788,Terminal Padat,157,High
R008,Yogyakarta - Purwokerto,Sore,BUS-065,1,29.0,29,0,0.8787878787878788,Jalan Rusak,158,High
R009,Yogyakarta - Madiun,Siang,BUS-009,1,29.0,29,0,0.8787878787878788,Terminal Padat,159,High
R010,Yogyakarta - Lampung,Malam,BUS-031,1,29.0,29,0,0.8787878787878788,Terminal Padat,160,High
R010,Yogyakarta - Lampung,Sore,BUS-025,1,29.0,29,0,0.8787878787878788,Cuaca Buruk,161,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-066,2,39.5,55,1,0.8636363636363636,Cuaca Buruk,162,High
R001,Yogyakarta - Jakarta,Pagi,BUS-073,2,31.0,38,1,0.8636363636363636,Jalan Rusak,163,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-037,2,28.5,30,1,0.8636363636363636,Teknis Armada,164,High
R010,Yogyakarta - Lampung,Sore,BUS-024,2,33.0,43,1,0.8484848484848485,Cuaca Buruk,165,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-075,2,29.0,35,1,0.8484848484848485,Jalan Rusak,166,High
R006,Yogyakarta - Denpasar,Malam,BUS-044,3,29.0,36,1,0.8484848484848485,Cuaca Buruk,167,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-052,1,28.0,28,0,0.8484848484848485,Jalan Rusak,168,High
R001,Yogyakarta - Jakarta,Malam,BUS-063,1,28.0,28,0,0.8484848484848485,Cuaca Buruk,169,High
R002,Yogyakarta - Bandung,Malam,BUS-018,1,28.0,28,0,0.8484848484848485,Terminal Padat,170,High
R004,Yogyakarta - Semarang,Siang,BUS-049,1,28.0,28,0,0.8484848484848485,Terminal Padat,171,High
R005,Yogyakarta - Malang,Malam,BUS-072,1,28.0,28,0,0.8484848484848485,Cuaca Buruk,172,High
R006,Yogyakarta - Denpasar,Sore,BUS-052,1,28.0,28,0,0.8484848484848485,Cuaca Buruk,173,High
R008,Yogyakarta - Purwokerto,Sore,BUS-020,1,28.0,28,0,0.8484848484848485,Lalu Lintas,174,High
R009,Yogyakarta - Madiun,Dini Hari,BUS-050,1,28.0,28,0,0.8484848484848485,Cuaca Buruk,175,High
R009,Yogyakarta - Madiun,Malam,BUS-069,1,28.0,28,0,0.8484848484848485,Terminal Padat,176,High
R009,Yogyakarta - Madiun,Sore,BUS-010,1,28.0,28,0,0.8484848484848485,Terminal Padat,177,High
R010,Yogyakarta - Lampung,Dini Hari,BUS-020,1,28.0,28,0,0.8484848484848485,Lalu Lintas,178,High
R010,Yogyakarta - Lampung,Malam,BUS-010,1,28.0,28,0,0.8484848484848485,Lalu Lintas,179,High
R010,Yogyakarta - Lampung,Malam,BUS-073,1,28.0,28,0,0.8484848484848485,Lalu Lintas,180,High
R001,Yogyakarta - Jakarta,Pagi,BUS-065,3,31.0,40,2,0.8383838383838383,Cuaca Buruk,181,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-085,2,27.5,28,0,0.8333333333333334,Lalu Lintas,182,High
R008,Yogyakarta - Purwokerto,Dini Hari,BUS-047,2,27.5,31,1,0.8333333333333334,Terminal Padat,183,High
R001,Yogyakarta - Jakarta,Dini Hari,BUS-021,2,30.5,39,1,0.8333333333333333,Cuaca Buruk,184,High
R001,Yogyakarta - Jakarta,Siang,BUS-035,2,30.0,38,1,0.8333333333333333,Teknis Armada,185,High
R001,Yogyakarta - Jakarta,Malam,BUS-010,2,28.0,34,1,0.8333333333333333,Cuaca Buruk,186,High
R003,Yogyakarta - Surabaya,Dini Hari,BUS-079,2,27.5,30,1,0.8333333333333333,Jalan Rusak,187,High
R010,Yogyakarta - Lampung,Sore,BUS-047,2,27.5,30,1,0.8333333333333333,Cuaca Buruk,188,High
R001,Yogyakarta - Jakarta,Siang,BUS-058,1,27.0,27,0,0.8181818181818182,Teknis Armada,189,High
R001,Yogyakarta - Jakarta,Sore,BUS-033,1,27.0,27,0,0.8181818181818182,Terminal Padat,190,High
R002,Yogyakarta - Bandung,Dini Hari,BUS-083,1,27.0,27,0,0.8181818181818182,Jalan Rusak,191,High
R002,Yogyakarta - Bandung,Pagi,BUS-037,1,27.0,27,0,0.8181818181818182,Terminal Padat,192,High
R003,Yogyakarta - Surabaya,Siang,BUS-047,1,27.0,27,0,0.8181818181818182,Cuaca Buruk,193,High
R004,Yogyakarta - Semarang,Dini Hari,BUS-012,2,27.0,31,1,0.8181818181818182,Jalan Rusak,194,High
R004,Yogyakarta - Semarang,Sore,BUS-033,1,27.0,27,0,0.8181818181818182,Terminal Padat,195,High
R005,Yogyakarta - Malang,Dini Hari,BUS-060,1,27.0,27,0,0.8181818181818182,Terminal Padat,196,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-006,1,27.0,27,0,0.8181818181818182,Terminal Padat,197,High
R006,Yogyakarta - Denpasar,Dini Hari,BUS-041,1,27.0,27,0,0.8181818181818182,Terminal Padat,198,High
R006,Yogyakarta - Denpasar,Siang,BUS-010,3,27.0,31,1,0.8181818181818182,Jalan Rusak,199,High
R006,Yogyakarta - Denpasar,Siang,BUS-020,1,27.0,27,0,0.8181818181818182,Lalu Lintas,200,High
R006,Yogyakarta - Denpasar,Siang,BUS-031,1,27.0,27,0,0.8181818181818182,Lalu Lintas,201,High
R006,Yogyakarta - Denpasar,Siang,BUS-041,1,27.0,27,0,0.8181818181818182,Terminal Padat,202,High
R007,Yogyakarta - Solo,Dini Hari,BUS-004,1,27.0,27,0,0.8181818181818182,Lalu Lintas,203,High
R007,Yogyakarta - Solo,Pagi,BUS-035,1,27.0,27,0,0.8181818181818182,Terminal Padat,204,High
R007,Yogyakarta - Solo,Pagi,BUS-041,1,27.0,27,0,0.8181818181818182,Cuaca Buruk,205,High
R007,Yogyakarta - Solo,Siang,BUS-079,1,27.0,27,0,0.8181818181818182,Terminal Padat,206,High
R008,Yogyakarta - Purwokerto,Pagi,BUS-027,1,27.0,27,0,0.8181818181818182,Lalu Lintas,207,High
R009,Yogyakarta - Madiun,Pagi,BUS-084,1,27.0,27,0,0.8181818181818182,Cuaca Buruk,208,High
R009,Yogyakarta - Madiun,Siang,BUS-014,1,27.0,27,0,0.8181818181818182,Jalan Rusak,209,High
R010,Yogyakarta - Lampung,Pagi,BUS-012,1,27.0,27,0,0.8181818181818182,Jalan Rusak,210,High
R010,Yogyakarta - Lampung,Pagi,BUS-070,1,27.0,27,0,0.8181818181818182,Teknis Armada,211,High
R010,Yogyakarta - Lampung,Siang,BUS-082,1,27.0,27,0,0.8181818181818182,Lalu Lintas,212,High
R006,Yogyakarta - Denpasar,Malam,BUS-038,2,35.5,50,1,0.8181818181818181,Jalan Rusak,213,High
R001,Yogyakarta - Jakarta,Malam,BUS-073,2,27.0,30,1,0.8181818181818181,Cuaca Buruk,214,High
R001,Yogyakarta - Jakarta,Pagi,BUS-044,2,27.0,29,0,0.8181818181818181,Cuaca Buruk,215,High
R001,Yogyakarta - Jakarta,Siang,BUS-020,2,27.0,30,1,0.8181818181818181,Cuaca Buruk,216,High
R002,Yogyakarta - Bandung,Pagi,BUS-033,2,27.0,28,0,0.8181818181818181,Lalu Lintas,217,High
R010,Yogyakarta - Lampung,Malam,BUS-025,2,27.0,28,0,0.8181818181818181,Cuaca Buruk,218,High
R006,Yogyakarta - Denpasar,Malam,BUS-066,3,27.0,34,1,0.8080808080808081,Teknis Armada,219,High
R001,Yogyakarta - Jakarta,Malam,BUS-048,2,29.5,39,1,0.803030303030303,Cuaca Buruk,220,High
R006,Yogyakarta - Denpasar,Malam,BUS-079,2,27.0,34,1,0.803030303030303,Cuaca Buruk,221,High
R002,Yogyakarta - Bandung,Dini Hari,BUS-041,2,26.5,28,0,0.803030303030303,Jalan Rusak,222,High
R002,Yogyakarta - Bandung,Pagi,BUS-038,2,26.5,28,0,0.803030303030303,Jalan Rusak,223,High
R003,Yogyakarta - Surabaya,Sore,BUS-072,2,26.5,32,1,0.803030303030303,Cuaca Buruk,224,High
R005,Yogyakarta - Malang,Malam,BUS-039,2,26.5,33,1,0.803030303030303,Jalan Rusak,225,High
R005,Yogyakarta - Malang,Sore,BUS-064,2,26.5,30,1,0.803030303030303,Teknis Armada,226,High
R010,Yogyakarta - Lampung,Siang,BUS-042,2,26.5,27,0,0.803030303030303,Cuaca Buruk,227,High
R010,Yogyakarta - Lampung,Malam,BUS-011,3,26.0,31,1,0.787878787878788,Jalan Rusak,228,High
R010,Yogyakarta - Lampung,Dini Hari,BUS-085,2,27.0,35,1,0.7878787878787878,Lalu Lintas,229,High
R001,Yogyakarta - Jakarta,Malam,BUS-045,1,26.0,26,0,0.7878787878787878,Lalu Lintas,230,High
R001,Yogyakarta - Jakarta,Pagi,BUS-029,1,26.0,26,0,0.7878787878787878,Teknis Armada,231,High
R001,Yogyakarta - Jakarta,Pagi,BUS-030,1,26.0,26,0,0.7878787878787878,Terminal Padat,232,High
R001,Yogyakarta - Jakarta,Siang,BUS-013,1,26.0,26,0,0.7878787878787878,Terminal Padat,233,High
R002,Yogyakarta - Bandung,Dini Hari,BUS-018,1,26.0,26,0,0.7878787878787878,Teknis Armada,234,High
R002,Yogyakarta - Bandung,Malam,BUS-058,1,26.0,26,0,0.7878787878787878,Cuaca Buruk,235,High
R002,Yogyakarta - Bandung,Pagi,BUS-065,2,26.0,32,1,0.7878787878787878,Cuaca Buruk,236,High
R002,Yogyakarta - Bandung,Siang,BUS-035,1,26.0,26,0,0.7878787878787878,Teknis Armada,237,High
R002,Yogyakarta - Bandung,Sore,BUS-054,1,26.0,26,0,0.7878787878787878,Cuaca Buruk,238,High
R002,Yogyakarta - Bandung,Sore,BUS-065,2,26.0,27,0,0.7878787878787878,Lalu Lintas,239,High
R002,Yogyakarta - Bandung,Sore,BUS-077,1,26.0,26,0,0.7878787878787878,Teknis Armada,240,High
R003,Yogyakarta - Surabaya,Malam,BUS-057,2,26.0,32,1,0.7878787878787878,Jalan Rusak,241,High
